# Question|Opt1|Opt2|Opt3|Opt4|CorrectIndex
template <___ T> class A;|typename / class|auto|template|type|0
int x = 2;\nint y = x++ + ++x;\ncout << y;|6|5|Undefined Behavior|4|0
int a[]={1,2};\ncout << *a;|Address|2|1|Error|2
int x=5;\nsizeof(x++);\ncout << x;|6|5|0|Error|1
Can derived classes access protected members?|Sometimes|Yes|Only if friend|No|1
inline void f(); // 'inline' is a:|Request/Hint|Macro|Loop|Command|0
bool b = true;\ncout << boolalpha << b;|0|1|true|Error|2
struct A { int x; }; // Default access?|Private|Friend|Static|Public|3
void f(int a[]) { cout << sizeof(a); }\n// On 64-bit sys|0|Error|8|Size of array|2
int n=5; int a[n]; // Standard C++?|Yes|C++11|No (VLA)|Maybe|2
int a[]={10,20};\ncout << 1[a];|20|1|10|Address|0
Which is best for int to float?|static_cast|reinterpret_cast|const_cast|type_cast|0
int x;\nif((x = 4)) cout << x;|true|4|Error|1|1
int x=10; void* p=&x;\ncout << *(int*)p;|10|Error|0|Address|0
int x=5; int* const p=&x;\n*p=10; cout << x;|0|Address|10|Error|2
vector<int> v; v.push_back(1);\ncout << v[0];|Error|1|Size|0|1
int* p = nullptr;\n// *p = 5; Runtime result?|0|Nothing|5|Crash/Segfault|3
auto f = [](){ return 5; };\ncout << f();|Void|[]|0|5|3
typedef int* IP; // IP is:|macro|int|variable|int*|3
vector<int> v(5); cout << v.size();|5|Max|0|Error|0
int x=0;\n(true || ++x);\ncout << x;|false|1|Error|0|3
class A{ virtual void f(){cout<<1;} };\nclass B:public A{ void f(){cout<<2;} };\nA* p=new B; p->f();|2|Error|12|1|0
int x=10; int* p=&x;\ncout << (p == &x);|1|false|true|0|0
int x = 0;\ncout << ~x;|1|-0|MAX_INT|-1|3
'volatile' tells compiler:|Make atomic|Read only|Make fast|Don't optimize|3
'mutable' allows modification in:|const functions|static functions|loops|macros|0
const int& x = 5; // Valid?|Runtime Error|Yes|No|Only C++20|1
int a=6, b=4;\na^=b; b^=a; a^=b;\ncout << a << b;|00|46|64|102|1
int f(int n){ return n<=1?1:n*f(n-1); }\ncout<<f(3);|9|3|6|Error|2
class A{ virtual void f(){cout<<1;} };\nclass B:public A{ void f(){cout<<2;} };\nB b; A a=b; a.f();|None|1|12|2|1
cout << (3 & 1);|0|1|2|3|1
int a[]={1,2,3};\ncout << (a+2) - a;|2|1|4|Address|0
auto x = 5.5; // Type of x?|float|int|double|auto|2
int x = 8;\nint y = ++x;\ncout << y;|10|9|Error|8|1
#define S(x) #x\ncout << S(hello);|Error|x|hello|"hello"|3
double d = 7 / 2;\ncout << d;|2.0|2.5|3.0|Error|2
cout << (5 ^ 5);|0|25|1|5|0
int x=1;\ncout << sizeof(++x);|8|1|2|4|3
class A { public: static int x; };\n// How to access x?|A.x|A::x|A->x|x::A|1
int x = 5; // Stored where?|Code|Heap|Global|Stack|3
int x = 0b1101;\ncout << x;|Error|13|0|14|1
#define A\n#ifdef A\ncout<<1;\n#endif|A|1|Nothing|0|1
cout << (5 | 2);|3|10|7|0|2
int x = 8;\nint y = x++;\ncout << y;|10|Error|8|0|2
Can friend function access private members?|Yes|Only protected|Only public|No|0
switch(x){ case 1: int y=5; }|Warning|Error (scope)|Runtime Error|5|1
int x=23; int* p=&x;\ncout << *p;|Address|p|0|23|3
void f(int& n){ n++; }\nint x=5; f(x); cout<<x;|6|Error|0|4|0
#define S(x) x*x\ncout << S(1+1);|3|2|1|4|0
int a[]={1,2,3};\nint* p=a+2;\ncout << *(p-1);|Address|3|2|1|2
int x = -10 % 2;\ncout << x;|Error|1|0|482|2
bool b = true;\ncout << b;|0|Error|1|true|2
'explicit' prevents:|Implicit conversion|Overloading|Explicit conversion|Construction|0
int x=5; const int* p=&x;\n// What is illegal?|int y=*p;|cout<<p;|p=&y;|*p=10;|3
#define C(a,b) a##b\nint xy=1; cout << C(x,y);|x y|xy|1|0|2
namespace N { int x=1; }\ncout << x;|Error|1|0|N::x|0
int* p = (int*)malloc(4);\n// Correct free?|remove(p);|free(p);|dealloc(p);|delete p;|1
cout << (1 << 1 + 2);|6|0|8|4|2
class A{}; class B:public A{};\nB b; // Constructor order?|A only|A then B|Random|B only|1
int x=0;\n(false && ++x);\ncout << x;|0|1|true|false|0
void f(int n){ n++; }\nint x=5; f(x); cout<<x;|4|5|Error|6|1
int* p = new int(5);\ndelete p;\n// p is now?|Zero|Null|Dangling Pointer|Safe|2
5.5 % 2; // Result?|0.5|Error|1.5|1|1
class A { public: A(){cout<<1;} };\nA a;|Void|0|1|Nothing|2
int f() { static int x=0; return ++x; }\ncout << f() << f();|11|12|22|01|1
int x=1; auto f=[x](){ return x; };\nx=2; cout<<f();|2|3|Error|1|3
vector<int> v={10};\ncout << *v.begin();|Address|0|10|1|2
#define MAX 10\ncout << MAX;|10|Error|int|MAX|0
float f=1.0; switch(f)...|1|Valid|Error|0|2
char c = 'a' + 1;\ncout << c;|a|98|b|Error|2
int x=2; int* p=&x; int** q=&p;\ncout << **q;|0|Address|p|2|3
class A { public: ~A(){cout<<1;} };\n{ A a; }|Nothing|0|1|Void|2
