# Question|A|B|C|D|CorrectIndex
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|A|B|Error|1
int arr[] = { 11, 28, 46 };\nint* p = arr;\ncout << *(p + 1);|11|Error|28|46|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|15|Error|5|10|0
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|C|A|B|1
int arr[] = { 17, 48, 20 };\nint* p = arr;\ncout << *(p + 1);|Error|48|Address|20|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(3);\n}|0|10|13|Error|2
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|B|A|Error|1
int arr[] = { 45, 25, 14 };\nint* p = arr;\ncout << *(p + 1);|14|Address|45|25|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|Error|10|0|15|3
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|Error|B|A|2
int arr[] = { 31, 30, 16 };\nint* p = arr;\ncout << *(p + 1);|16|Error|30|Address|2
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|14|0|Error|4|0
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|A|Error|C|3
int arr[] = { 44, 13, 35 };\nint* p = arr;\ncout << *(p + 1);|Error|13|35|44|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(4);\n}|4|14|0|10|1
int x = 3;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|A|C|Error|B|1
int arr[] = { 15, 10, 33 };\nint* p = arr;\ncout << *(p + 1);|15|10|33|Error|1
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(5);\n}|15|5|0|10|0
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|B|C|A|Error|0
int arr[] = { 48, 30, 48 };\nint* p = arr;\ncout << *(p + 1);|48|Error|Address|30|3
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|2|Error|12|0|2
int x = 2;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|Error|C|A|B|3
int arr[] = { 47, 50, 32 };\nint* p = arr;\ncout << *(p + 1);|50|Address|32|47|0
int add(int n) {\n    return n + 10;\n}\n\nint main() {\n    cout << add(2);\n}|10|0|2|12|3
int x = 1;\nswitch(x) {\n  case 1: cout << 'A'; break;\n  case 2: cout << 'B'; break;\n  default: cout << 'C';\n}|C|B|A|Error|2
int arr[] = { 35, 36, 49 };\nint* p = arr;\ncout << *(p + 1);|35|49|36|Address|2
